Surname;Given names;Nation;Flights;time_in_space;sex_or_genderLabel;birth;death;age
Ashby;"Jeffrey Shears ""Bones""";USA;3;39857;male;1.6.1954;;
Stefanyshyn-Piper;Heidemarie Martha;USA;2;39815;female;7.2.1963;;
Lockhart;"Paul Scott ""Paco""";USA;2;39802;male;28.4.1956;;
Guidoni;Umberto;Italy;2;39790;male;18.8.1954;;
Thuot;Pierre Joseph;USA;3;39291;male;19.5.1955;;
Covey;Richard Oswalt;USA;4;38709;male;1.8.1946;;
Fuglesang;Arne Christer;Sweden;2;38497;male;18.3.1957;;
Kelly;"James McNeal ""Vegas""";USA;2;38481;male;14.5.1964;;
Archambault;"Lee Joseph ""Bru""";USA;2;38380;male;25.8.1960;;
Patrick;Nicholas James MacDonald;USA;2;38330;male;19.11.1964;;
Simonyi;"Charles ""Károly""";USA;2;38305;male;10.9.1948;;
Foreman;Michael James;USA;2;38247;male;29.3.1957;;
Grabe;Ronald John;USA;4;37658;male;13.6.1945;;
Husband;Rick Douglas;USA;2;37053;male;12.7.1957;1.2.2003;46
Haigneré;Claudie;France;2;36862;female;13.5.1957;;
Durrance;Samuel Thornton;USA;2;36853;male;17.9.1943;;
Parise;Ronald Anthony;USA;2;36853;male;24.5.1951;9.5.2008;57
Drew;Benjamin Alvin, Jr.;USA;2;36779;male;5.11.1962;;
Ham;Kenneth Todd;USA;2;36761;male;12.12.1964;;
Payette;Julie;Canada;2;36718;female;20.10.1963;;
McMonagle;Donald Ray;USA;3;36334;male;14.5.1952;;
Anderson;Michael Philip;USA;2;35647;male;25.12.1959;1.2.2003;44
Good;"Michael Timothy ""Bueno""";USA;2;35525;male;13.10.1962;;
Scott;Winston Elliott;USA;2;35434;male;6.8.1950;;
Antonelli;"Dominic Anthony ""Tony""";USA;2;35397;male;23.8.1967;;
Gemar;"Charles Donald ""Sam""";USA;3;34898;male;4.8.1955;;
Massimino;Michael James;USA;2;34307;male;19.8.1962;;
Dobrovolsky;Georgi Timofeyevich;USSR;1;34221;male;1.6.1928;30.6.1971;43
Patsayev;Viktor Ivanovich;USSR;1;34221;male;19.6.1933;30.6.1971;38
Mukai;Chiaki;Japan;2;34059;female;6.5.1952;;
Cernan;"Eugene Andrew ""Gene""";USA;3;33975;male;14.3.1934;16.1.2017;83
Frick;Stephen Nathaniel;USA;2;33963;male;30.9.1964;;
Crippen;"Robert Laurel ""Crip""";USA;4;33947;male;11.9.1937;;
Melvin;"Leland Devon ""Lee""";USA;2;33937;male;15.2.1964;;
Cameron;Kenneth Donald;USA;3;33730;male;29.11.1949;;
Runco;"Mario, Jr. ""Trooper""";USA;3;33067;male;26.1.1952;;
Scott;David Randolph;USA;3;32813;male;6.6.1932;;
Schlegel;Hans Wilhelm;Germany;2;32761;male;3.8.1951;;
Shaw;Brewster Hopkinson, Jr.;USA;3;32031;male;16.5.1945;;
Sullivan;Kathryn Dwyer;USA;3;31969;female;3.10.1951;;
Leestma;David Cornell;USA;3;31952;male;6.5.1949;;
MacLean;Steven Glenwood;Canada;2;31202;male;14.12.1954;;
Nikolayev;Andriyan Grigoriyevich;USSR;2;31160;male;5.9.1929;3.7.2004;75
Mattingly;"Thomas Kenneth II ""Ken""";USA;3;30514;male;17.3.1936;;
Stafford;"Thomas Patten ""Tom""";USA;4;30462;male;17.9.1930;;
Bykovsky;Valeri Fyodorovich;USSR;3;29868;male;2.8.1934;27.3.2019;85
Makarov;Oleg Grigoriyevich;USSR;3;29840;male;6.1.1933;28.5.2003;70
Hilmers;David Carl;USA;4;29656;male;28.1.1950;;
Buchli;James Frederick;USA;4;29424;male;20.6.1945;;
Gutierrez;"Sidney McNeill ""Sid""";USA;2;29283;male;27.6.1951;;
Hartsfield;"Henry Warren, Jr. ""Hank""";USA;3;28970;male;21.11.1933;17.7.2014;81
Lounge;John Michael;USA;3;28943;male;28.6.1946;1.3.2011;65
Noriega;Carlos Ismael;USA;2;28877;male;8.10.1959;;
Walker;Charles David;USA;3;28676;male;29.8.1948;;
Borman;Frank Frederick II;USA;2;28655;male;14.3.1928;;
Baturin;Yuri Mikhailovich;Russia;2;28423;male;1.1.1949;;
Savitskaya;Svetlana Yevgeniyevna;USSR;2;28386;female;8.8.1948;;
Ewald;Reinhold;Germany;1;28354;male;18.12.1956;;
Crouch;Roger Keith;USA;2;28316;male;12.9.1940;;
Linteris;Gregory Thomas;USA;2;28316;male;4.10.1957;;
Kilrain;Susan Leigh;USA;2;28316;female;24.10.1961;;
Nie;Haisheng;China;2;27961;male;13.10.1964;;
Coats;Michael Lloyd;USA;3;27836;male;16.1.1946;;
Parker;Robert Alan Ridley;USA;2;27772;male;14.12.1936;;
Hammond;Lloyd Blaine, Jr.;USA;2;27731;male;16.1.1952;;
Lichtenberg;Byron Kurt;USA;2;27716;male;19.2.1948;;
Mohri;Mamoru;Japan;2;27609;male;29.1.1948;;
Gregory;Frederick Drew;USA;3;27304;male;7.1.1941;;
Duque;Pedro Francisco;Spain;2;27046;male;14.3.1963;;
Weber;Mary Ellen;USA;2;27029;female;24.8.1962;;
Kubasov;Valeri Nikolayevich;USSR;3;26997;male;7.1.1935;19.2.2014;79
Tognini;Michel Ange-Charles;France;2;26985;male;30.9.1949;;
Popovich;Pavel Romanovich;USSR;2;26907;male;5.10.1930;29.9.2009;79
Harris;Bernard Anthony, Jr.;USA;2;26288;male;26.6.1956;;
Veach;Charles Lacy;USA;2;26178;male;18.9.1944;3.10.1995;51
Hauck;"Frederick Hamilton ""Rick""";USA;3;26108;male;11.4.1941;;
Glazkov;Yuri Nikolayevich;USSR;1;25525;male;2.10.1939;9.12.2008;69
Sega;Ronald Michael;USA;2;25225;male;4.12.1952;;
Nelson;"George Driver ""Pinky""";USA;3;24643;male;13.7.1950;;
Brady;Charles Eldon, Jr.;USA;1;24347;male;12.8.1951;23.7.2006;55
Favier;Jean-Jacques Henri;France;1;24347;male;13.4.1949;;
Creighton;John Oliver;USA;3;24264;male;28.4.1943;;
Gregory;"William George ""Borneo""";USA;1;23948;male;14.5.1957;;
Shriver;Loren James;USA;3;23164;male;23.9.1944;;
Bobko;"Karol Joseph ""Bo""";USA;3;23163;male;23.12.1937;;
O'Connor;"Bryan Daniel ""O.C.""";USA;2;22998;male;6.9.1946;;
Fullerton;Charles Gordon;USA;2;22970;male;11.10.1936;21.8.2013;77
Brown;David McDowell;USA;1;22940;male;16.4.1956;1.2.2003;47
Clark;Laurel Blair Salton;USA;1;22940;female;10.3.1961;1.2.2003;42
McCool;"William Cameron ""Willie""";USA;1;22940;male;23.9.1961;1.2.2003;42
Ramon;Ilan;Israel;1;22940;male;20.6.1954;1.2.2003;49
Leslie;Fred Weldon;USA;1;22912;male;19.12.1951;;
Sacco;"Albert, Jr. ""Al""";USA;1;22912;male;3.5.1949;;
Buckey;Jay Clark, Jr.;USA;1;22910;male;6.6.1956;;
Pawelczyk;"James Anthony ""Jim""";USA;1;22910;male;20.9.1960;;
Cheli;Maurizio;Italy;1;22660;male;4.5.1959;;
Artyukhin;Yuri Petrovich;USSR;1;22650;male;22.6.1930;4.8.1998;68
Kadenyuk;Leonid Konstantinovich;USSR / Ukraine;1;22594;male;28.1.1951;31.1.2018;67
Dutton;James Patrick, Jr.;USA;1;21767;male;20.11.1968;;
Metcalf-Lindenburger;"Dorothy Marie ""Dottie""";USA;1;21767;female;2.5.1975;;
Yamazaki;Naoko;Japan;1;21767;female;27.12.1970;;
Mullane;"Richard Michael ""Mike""";USA;3;21380;male;10.9.1945;;
Wang;Yaping;China;1;21029;female;27.1.1980;;
Zhang;Xiaoguang;China;1;21029;male;1.5.1966;;
Ride;Sally Kristen;USA;2;20627;female;26.5.1951;23.7.2012;61
McDivitt;James Alton;USA;2;20336;male;10.6.1929;;
van Hoften;"James Dougal Adrianus ""Ox""";USA;2;20277;male;11.6.1944;;
Bagian;James Philipp;USA;2;20273;male;22.2.1952;;
Gardner;Dale Allan;USA;2;20212;male;8.11.1948;19.2.2014;66
Fettman;Martin Joseph;USA;1;20172;male;31.12.1956;;
Adamson;James Craig;USA;2;20061;male;3.3.1946;;
Camarda;Charles Joseph;USA;1;20012;male;8.5.1952;;
Hernández;José Moreno;USA;1;19973;male;7.8.1962;;
Perrin;Philippe;France;1;19955;male;6.1.1963;;
DeLucas;"Lawrence James ""Larry""";USA;1;19890;male;11.7.1950;;
Trinh;"Eugene Huu-Chau ""Gene""";USA;1;19890;male;14.9.1950;;
Herrington;John Bennett;USA;1;19847;male;14.9.1958;;
Reightler;Kenneth Stanley, Jr.;USA;2;19656;male;24.3.1951;;
Gardner;Guy Spence;USA;2;19210;male;6.1.1948;;
Fabian;John McCreary;USA;2;18963;male;28.1.1939;;
Gordon;"Richard Francis, Jr. ""Dick""";USA;2;18953;male;5.10.1929;6.11.2017;88
Allen;"Joseph Percival IV ""Joe""";USA;2;18838;male;27.6.1937;;
Thornton;William Edgar;USA;2;18796;male;14.4.1929;;
McCandless;Bruce II;USA;2;18751;male;8.6.1937;21.12.2017;80
Melnick;"Bruce Edward ""Mel""";USA;2;18687;male;5.12.1949;;
Johnson;"Gregory Carl ""Ray J""";USA;1;18577;male;30.7.1954;;
McArthur;Katherine Megan;USA;1;18577;female;30.8.1971;;
Higginbotham;Joan Elizabeth Miller;USA;1;18524;female;3.8.1964;;
Oefelein;"William Anthony ""Bill""";USA;1;18524;male;29.3.1965;;
Richards;Paul William;USA;1;18469;male;20.5.1964;;
Nowak;Lisa Marie Caputo;USA;1;18396;female;10.5.1963;;
Love;Stanley Glen;USA;1;18381;male;8.6.1965;;
Morgan;"Barbara Radding ""Barby""";USA;1;18355;female;28.11.1951;;
Liu;Wang;China;1;18205;male;25.3.1969;;
Liu;Yang;China;1;18205;female;6.10.1978;;
Evans;"Ronald Ellwin, Jr. ""Ron""";USA;1;18112;male;10.11.1933;7.4.1990;57
Schmitt;"Harrison Hagan ""Jack""";USA;1;18112;male;3.7.1935;;
Schirra;"Walter Marty, Jr. ""Wally""";USA;3;17713;male;12.3.1923;3.5.2007;84
Irwin;"James Benson ""Jim""";USA;1;17712;male;17.3.1930;8.8.1991;61
Worden;Alfred Merrill;USA;1;17712;male;7.2.1932;;
Overmyer;Robert Franklyn;USA;2;17422;male;14.7.1936;22.3.1996;60
Aldrin;"Edwin Eugene ""Buzz""";USA;2;17392;male;20.1.1930;;
Stewart;Robert Lee;USA;2;17339;male;13.8.1942;;
Williams;Donald Edward;USA;2;17254;male;13.2.1942;23.2.2016;74
Garriott de Cayeux;Richard Allen;USA;1;17075;male;4.7.1961;;
Tryggvason;Bjarni Valdimar;Canada;1;17066;male;21.9.1945;;
Aksyonov;Vladimir Viktorovich;USSR;2;17051;male;1.2.1935;;
Malyshev;Yuri Vasiliyevich;USSR;2;17039;male;27.8.1941;8.11.1999;58
Volk;Igor Petrovich;USSR;1;16994;male;12.4.1937;3.1.2017;80
Morukov;Boris Vladimirovich;Russia;1;16990;male;1.10.1950;1.1.2015;65
Thiele;Gerhard Paul Julius;Germany;1;16179;male;2.9.1953;;
Collins;Michael;USA;2;15964;male;31.10.1930;;
Duke;"Charles Moss, Jr. ""Chuck""";USA;1;15951;male;3.10.1935;;
Carey;"Duane Gene ""Digger""";USA;1;15730;male;30.4.1957;;
Cleave;Mary Louise;USA;2;15720;female;5.2.1947;;
Laliberté;Guy;Canada;1;15677;male;2.9.1959;;
Muszaphar Shukor;Sheikh;Malaysia;1;15673;male;27.7.1972;;
Yi;Soyeon;South Korea;1;15673;female;2.6.1978;;
Ansari;Anousheh;USA;1;15665;female;12.9.1966;;
Filipchenko;Anatoli Vasiliyevich;USSR;2;15663;male;26.2.1928;;
Cunningham;"Ronnie Walter ""Walt""";USA;1;15609;male;16.3.1932;;
Eisele;Donn Fulton;USA;1;15609;male;23.6.1930;1.12.1987;57
Morin;Lee Miller Emile;USA;1;15582;male;9.9.1952;;
Satcher;"Robert Lee, Jr. ""Bobby""";USA;1;15556;male;22.9.1965;;
Brown;Mark Neil;USA;2;14967;male;18.11.1951;;
Schweickart;"Russell Louis ""Rusty""";USA;1;14460;male;25.10.1935;;
Walter;Ulrich Hans;Germany;1;14380;male;9.2.1954;;
Shatalov;Vladimir Aleksandrovich;USSR;3;14275;male;8.12.1927;;
Springer;Robert Clyde;USA;2;14252;male;21.5.1942;;
Shargin;Yuri Georgiyevich;Russia;1;14249;male;20.3.1960;;
Shuttleworth;"Mark Richard ""Buranov""";South Africa;1;14245;male;18.9.1973;;
Pontes;Marcos Cesar;Brazil;1;14237;male;11.3.1963;;
Olsen;"Gregory Hammond ""Greg""";USA;1;14235;male;20.4.1945;;
Rukavishnikov;Nikolai Nikolayevich;USSR;3;14229;male;18.9.1932;19.10.2002;70
Aimbetov;Aydyn Akanovich;Kazakhstan;1;14174;male;27.7.1972;;
Mogensen;Andreas Enevold;Denmark;1;14174;male;2.11.1976;;
Aleksandrov;"Aleksandr Panayatov ""Sasha""";Bulgaria;1;14169;male;1.12.1951;;
Kozeyev;Konstantin Mirovich;Russia;1;14159;male;1.12.1967;;
Cooper;"Leroy Gordon, Jr. ""Gordo""";USA;2;13514;male;6.3.1927;4.10.2004;77
Engle;Joe Henry;USA;2;13470;male;26.8.1932;;
Glenn;John Herschel, Jr.;USA;2;13119;male;18.7.1921;8.12.2016;95
Gaffney;"Francis Andrew ""Drew""";USA;1;13094;male;9.6.1946;;
Hughes-Fulford;Millie Elizabeth;USA;1;13094;female;21.12.1945;;
Slayton;"Donald Kent ""Deke""";USA;1;13048;male;1.3.1924;13.6.1993;69
Mitchell;"Edgar Dean ""Ed""";USA;1;12961;male;17.9.1930;4.2.2016;86
Roosa;"Stuart Allen ""Stu""";USA;1;12961;male;16.8.1933;12.12.1994;61
Shepard;"Alan Bartlett, Jr. ""Al""";USA;1;12961;male;18.11.1923;21.7.1998;75
Yeliseyev;Aleksei Stanislavovich;USSR;3;12860;male;13.7.1934;;
Frimout;Dirk Dries David Damiaan;Belgium;1;12849;male;21.3.1941;;
Momand;"Abdulahad ""Abdulah""";Afghanistan;1;12746;male;1.1.1959;;
Edwards;Joe Frank, Jr.;USA;1;12707;male;3.2.1958;;
Armstrong;Neil Alden;USA;2;12359;male;5.8.1930;25.8.2012;82
Truly;"Richard Harrison ""Dick""";USA;2;11961;male;12.11.1937;;
McBride;Jon Andrew;USA;1;11843;male;14.8.1943;;
Scully-Power;Paul Desmond;USA;1;11843;male;28.5.1944;;
Bondar;Roberta Lynn;Canada;1;11594;female;4.12.1945;;
Fisher;Anna Lee Tingle;USA;1;11504;transgender female;24.8.1949;;
McNair;Ronald Erwin;USA;1;11475;male;21.10.1950;28.1.1986;36
Malerba;Franco Egidio;Italy;1;11475;male;10.10.1946;;
Faris;Muhammed Achmed;Syria;1;11464;male;26.5.1951;;
Acton;Loren Wilber;USA;1;11445;male;7.3.1936;;
Bartoe;John-David Francis;USA;1;11445;male;17.11.1944;;
Bridges;Roy Dunbard, Jr.;USA;1;11445;male;19.7.1943;;
England;Anthony Wayne;USA;1;11445;male;15.5.1942;;
Henize;Karl Gordon;USA;1;11445;male;17.10.1926;5.10.1993;67
Jemison;Mae Carol;USA;1;11430;female;17.10.1956;;
Remek;"Vladimír ""Volodya""";Czechoslovakia;1;11416;male;26.9.1948;;
Aubakirov;Toktar Ongarbayevich;USSR;1;11412;male;27.7.1946;;
Viehböck;Franz Artur;Austria;1;11412;male;24.8.1960;;
Tito;Dennis Anthony;USA;1;11404;male;8.8.1940;;
Hermaszewski;"Miroslaw ""Mirek""";Poland;1;11402;male;15.9.1941;;
Levchenko;Anatoli Semyonovich;USSR;1;11398;male;21.5.1941;6.8.1988;47
Flade;Klaus-Dietrich;Germany;1;11396;male;23.8.1952;;
Bella;Ivan;Slovakia;1;11396;male;25.5.1964;;
Akiyama;Toyohiro;Japan;1;11394;male;22.7.1942;;
Sharma;"Rakesh ""Rikki""";India;1;11380;male;13.1.1949;;
Sharman;"Helen Patricia ""Lenochka""";United Kingdom;1;11353;female;30.5.1963;;
Al Mansoori;Hazzaa Ali Abdan Khalfan;UAE;1;11341;male;13.12.1983;;
Jähn;"Sigmund Werner Paul ""Sig""";Germany (GDR);1;11329;male;13.2.1937;21.9.2019;82
Farkas;"Bertalan ""Bertsi""";Hungary;1;11325;male;2.8.1949;;
Tamayo Méndez;"Arnaldo ""Guasso""";Cuba;1;11323;male;29.1.1942;;
Gurragcha;"Zhugderdemidiyn ""Gurr""";Mongolia;1;11322;male;5.12.1947;;
Pham;Tuân;Vietnam;1;11322;male;14.2.1947;;
Prunariu;Dumitru Dorin;Romania;1;11321;male;27.9.1952;;
Fisher;William Frederick;USA;1;10217;male;1.4.1946;;
Al-Saud;Sultan bin Salman bin Abdulaziz;Saudi-Arabia;1;10178;male;27.6.1956;;
Baudry;Patrick Pierre Roger;France;1;10178;male;6.3.1946;;
Furrer;Reinhard Alfred;Germany;1;10124;male;25.11.1940;9.9.1995;55
Messerschmid;Ernst Willi;Germany;1;10124;male;21.5.1945;;
Ockels;Wubbo Johannes;Netherlands;1;10124;male;28.3.1946;18.5.2014;68
Leonov;Aleksei Arkhipovich;USSR;2;10112;male;30.5.1934;11.10.2019;85
Lind;Don Leslie;USA;1;10088;male;18.5.1930;;
van den Berg;Lodewijk;USA;1;10088;male;24.3.1932;;
Wang;Taylor Gun-Jin;USA;1;10088;male;16.6.1940;;
Garn;"Edwin Jacob ""Jake""";USA;1;10075;male;12.10.1932;;
Griggs;Stanley David;USA;1;10075;male;7.9.1939;17.6.1989;50
Hart;"Terry Jonathan ""T.J.""";USA;1;10060;male;27.10.1946;;
Scobee;"Francis Richard ""Dick""";USA;1;10060;male;19.5.1939;28.1.1986;47
Hennen;Thomas John;USA;1;10010;male;17.8.1952;;
Neri Vela;Rodolfo;Mexico;1;9904;male;19.2.1952;;
Spring;"Sherwood Clark ""Woody""";USA;1;9904;male;3.9.1944;;
Anders;"William Alison ""Bill""";USA;1;8820;male;17.10.1933;;
Cenker;Robert Joseph, Jr.;USA;1;8763;male;5.11.1948;;
Nelson;"Clarence William, Jr. ""Bill""";USA;1;8763;male;29.9.1942;;
Resnik;"Judith Arlene ""J.R.""";USA;1;8696;female;5.4.1949;28.1.1986;37
Haise;"Fred Wallace, Jr. ""Freddo""";USA;1;8574;male;14.11.1933;;
Swigert;"John Leonard, Jr. ""Jack""";USA;1;8574;male;30.8.1931;27.12.1982;51
Lenoir;"William Benjamin ""Bill""";USA;1;7334;male;14.3.1939;26.8.2010;71
Peterson;Donald Herod;USA;1;7223;male;22.10.1933;27.5.2018;85
Carter;"Manley Lanier, Jr. ""Sonny""";USA;1;7206;male;15.8.1947;5.4.1991;44
McCulley;Michael James;USA;1;7179;male;4.8.1943;;
Shonin;Georgi Stepanovich;USSR;1;7122;male;3.8.1935;6.4.1997;62
Fei;Junlong;China;1;6932;male;5.5.1965;;
White;Edward Higgins II;USA;1;5876;male;14.11.1930;27.1.1967;37
Pailes;William Arthur;USA;1;5864;male;26.6.1952;;
Beregovoy;Georgi Timofeyevich;USSR;1;5690;male;15.4.1921;30.6.1995;74
Onizuka;Ellison Shoji;USA;1;4413;male;24.6.1946;28.1.1986;40
Payton;Gary Eugene;USA;1;4413;male;20.6.1948;;
Tereshkova;Valentina Vladimirovna;USSR;1;4250;female;6.3.1937;;
Liu;Boming;China;1;4107;male;29.10.1966;;
Zhai;Zhigang;China;1;4107;male;10.10.1966;;
Komarov;Vladimir Mikhailovich;USSR;2;3064;male;16.3.1927;24.4.1967;40
Dyomin;Lev Stepanovich;USSR;1;2892;male;11.1.1926;18.12.1998;72
Sarafanov;Gennadi Vasiliyevich;USSR;1;2892;male;1.1.1942;29.9.2005;63
Rozhdestvensky;Valeri Iliych;USSR;1;2886;male;13.2.1939;31.8.2011;72
Zudov;Vyacheslav Dmitriyevich;USSR;1;2886;male;8.1.1942;;
Khrunov;Yevgeni Vasiliyevich;USSR;1;2865;male;10.9.1933;19.5.2000;67
Lazarev;Vasili Grigoriyevich;USSR;1;2835;male;23.2.1928;31.12.1990;62
Ivanov;Georgy;Bulgaria;1;2821;male;2.7.1940;;
Belyayev;Pavel Ivanovich;USSR;1;1562;male;26.6.1925;10.1.1970;45
Titov;German Stepanovich;USSR;1;1518;male;11.9.1935;20.9.2000;65
Feoktistov;Konstantin Petrovich;USSR;1;1457;male;7.2.1926;21.11.2009;83
Yegorov;Boris Borisovich;USSR;1;1457;male;26.11.1937;12.9.1994;57
Yang;Liwei;China;1;1282;male;21.6.1965;;
Carpenter;Malcolm Scott;USA;1;296;male;1.5.1925;10.10.2013;88
Grissom;"Virgil Ivan ""Gus""";USA;1;292;male;3.4.1926;27.1.1967;41
Gagarin;Yuri Alekseyevich;USSR;1;106;male;9.3.1934;27.3.1968;34